Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modGunDuckbillBundle,items,Item,,,Shotgun Duckbill Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunMagazineExtenderBundle,items,Item,,,Magazine Extender Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunBowPolymerStringBundle,items,Item,,,Polymer String Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeSerratedBladeBundle,items,Item,,,Serrated Blade Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeErgonomicGripBundle,items,Item,,,Ergonomic Grip Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeClubMetalSpikesBundle,items,Item,,,Metal Spikes Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeBunkerBusterBundle,items,Item,,,Bunker Buster Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeIronBreakerBundle,items,Item,,,Iron Breaker Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeWoodSplitterBundle,items,Item,,,Wood Splitter Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorInsulatedLinerBundle,items,Item,,,Insulated Liner Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorCustomizedFittingsBundle,items,Item,,,Customized Fittings Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorPlatingBasicBundle,items,Item,,,Armor Plating Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorTripleStoragePocketBundle,items,Item,,,Armor Triple Pocket Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorMuffledConnectorsBundle,items,Item,,,Muffled Connectors Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorImpactBracingBundle,items,Item,,,Impact Bracing Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorBandolierBundle,items,Item,,,Bandolier Mod,,,__NAME__,,,,,,__NAME__,,,,
modFuelTankSmallBundle,items,Item,,,Motor Tool Small Tank Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneHeadlampModBundle,items,Item,,,Robotic Drone Headlamp Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleOffRoadHeadlightsBundle,items,Item,,,Vehicle Off Road Headlights Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleExpandedSeatBundle,items,Item,,,Vehicle Expanded Seating Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleArmorBundle,items,Item,,,Vehicle Armor Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunSoundSuppressorSilencerBundle,items,Item,,,Silencer Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunScopeLargeBundle,items,Item,,,Scope 8x Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunTriggerGroupSemiBundle,items,Item,,,Trigger Group: Semi Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunBipodBundle,items,Item,,,Bipod Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunCrippleEmBundle,items,Item,,,Cripple 'Em Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunMeleeRadRemoverBundle,items,Item,,,Rad Remover Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeFortifyingGripBundle,items,Item,,,Fortifying Grip Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeGraveDiggerBundle,items,Item,,,Grave Digger Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorPlatingReinforcedBundle,items,Item,,,Banded Armor Plating Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorQuadStoragePocketBundle,items,Item,,,Armor Quad Pocket Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorAdvancedMuffledConnectorsBundle,items,Item,,,Advanced Muffled Connectors Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorWaterPurifierBundle,items,Item,,,Water Purifier Mod,,,__NAME__,,,,,,__NAME__,,,,
modFuelTankLargeBundle,items,Item,,,Motor Tool Large Tank Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneCargoModBundle,items,Item,,,Robotic Drone Cargo Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneMedicModBundle,items,Item,,,Robotic Drone Medic Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneArmorPlatingModBundle,items,Item,,,Robotic Drone Armor Plating Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneMoraleBoosterModBundle,items,Item,,,Robotic Drone Morale Booster Mod,,,__NAME__,,,,,,__NAME__,,,,
modRoboticDroneWeaponModBundle,items,Item,,,Robotic Drone Weapon Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleFuelSaverBundle,items,Item,,,Vehicle Fuel Saver Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleSuperChargerBundle,items,Item,,,Vehicle Super Charger Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehiclePlowBundle,items,Item,,,Vehicle Plow Mod,,,__NAME__,,,,,,__NAME__,,,,
plantedCotton1Bundle,items,Item,,,Cotton (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedGoldenrod1Bundle,items,Item,,,Goldenrod (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedChrysanthemum1Bundle,items,Item,,,Chrysanthemum (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedPumpkin1Bundle,items,Item,,,Pumpkin (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedMushroom1Bundle,items,Item,,,Mushroom Spores,,,__NAME__,,,,,,__NAME__,,,,
plantedYucca1Bundle,items,Item,,,Yucca (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedCoffee1Bundle,items,Item,,,Coffee (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedBlueberry1Bundle,items,Item,,,Blueberry (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedCorn1Bundle,items,Item,,,Corn (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedAloe1Bundle,items,Item,,,Aloe Vera (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedPotato1Bundle,items,Item,,,Potato (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedGraceCorn1Bundle,items,Item,,,Super Corn (Seed),,,__NAME__,,,,,,__NAME__,,,,
plantedHop1Bundle,items,Item,,,Hop (Seed),,,__NAME__,,,,,,__NAME__,,,,

